第,525
一,10306
回,2124
張,1502
天,2092
師,1165
祈,20
禳,11
瘟,10
疫,11
洪,76
太,1500
尉,768
誤,125
走,1452
妖,84
魔,86
話,1017
說,3766
大,4656
宋,4854
仁,152
宗,710
子,3126
在,4705
位,489
嘉,46
祐,13
三,2812
年,403
月,461
日,3034
五,1556
更,486
點,567
駕,141
坐,989
紫,133
宸,4
殿,292
受,337
百,892
官,1632
朝,550
賀,179
但,481
見,4561
祥,60
雲,517
迷,74
鳳,97
閣,70
瑞,136
氣,645
罩,19
龍,601
樓,374
含,13
煙,96
御,264
柳,132
拂,43
旌,43
旗,647
帶,806
露,83
宮,141
花,971
迎,509
劍,188
戟,124
香,292
影,113
裏,4988
玉,389
簪,12
朱,693
履,19
聚,238
丹,74
墀,9
仙,110
樂,244
聲,943
中,2861
繡,144
襖,81
錦,219
衣,543
扶,184
珍,229
珠,148
簾,93
捲,93
黃,712
金,1259
上,6013
現,127
轝,1
羽,96
扇,62
開,1082
白,708
階,63
前,2764
停,78
寶,523
輦,5
隱,66
淨,108
鞭,136
下,5008
響,325
層,29
文,880
武,1789
兩,3711
班,144
齊,609
當,1938
有,4134
頭,3034
喝,600
道,10720
事,1508
出,3170
早,1004
奏,403
無,1310
退,321
只,4120
部,223
叢,121
宰,64
相,1614
趙,182
哲,8
參,228
政,22
彥,6
博,53
曰,114
目,337
今,1643
京,745
盛,157
行,1784
傷,228
損,82
軍,4633
民,280
甚,822
多,1064
伏,369
望,1019
陛,59
釋,20
罪,326
寬,75
恩,484
省,195
刑,34
薄,67
稅,2
災,45
救,604
濟,227
萬,706
聽,1846
急,631
敕,103
翰,17
林,1285
院,284
隨,708
即,445
草,408
詔,169
面,2244
降,329
赦,65
囚,102
應,726
間,761
賦,3
悉,13
皆,308
免,108
命,640
觀,224
寺,238
修,81
設,188
好,2048
不,8689
料,105
其,453
轉,428
聞,463
知,1922
體,144
安,1193
復,203
會,518
計,573
議,405
向,487
那,5152
臣,278
越,107
啟,60
看,2489
時,3311
乃,290
是,6320
范,86
仲,42
淹,8
拜,720
罷,614
起,2148
居,170
塗,17
炭,25
夕,24
能,455
聊,15
生,1255
以,608
愚,54
