第,323
一,12202
回,3094
甄,124
士,202
隱,139
夢,176
幻,68
識,89
通,183
靈,189
賈,5203
雨,305
村,251
風,477
塵,74
懷,10
閨,52
秀,39
作,1228
者,417
自,2458
因,1981
曾,309
歷,77
過,2590
番,132
之,2155
後,1393
故,496
將,1161
真,647
事,2653
去,6198
而,518
借,116
說,9695
撰,16
此,1551
石,233
頭,3404
記,274
書,668
也,6121
曰,61
但,410
中,1679
所,946
何,1123
又,5225
是,10158
哉,26
今,2124
碌,27
無,1406
成,679
忽,443
念,351
及,287
當,750
日,2929
有,6011
女,880
子,5489
細,476
推,149
了,21246
覺,581
其,420
行,516
止,142
見,4810
皆,394
出,3256
於,102
我,9183
上,3822
堂,147
鬚,5
眉,99
不,15075
若,1037
彼,106
裙,55
釵,1112
實,336
愧,54
則,341
餘,133
悔,83
益,85
大,3464
可,1872
奈,124
時,2168
欲,221
已,1161
往,809
賴,202
天,1364
恩,201
下,2807
承,120
祖,237
德,86
錦,106
衣,442
紈,376
絝,2
飫,2
甘,20
饜,2
美,100
肥,15
背,173
父,358
母,2210
教,201
育,10
負,98
師,104
兄,331
規,87
訓,34
至,835
半,641
生,1177
潦,4
倒,1538
罪,198
編,67
述,55
以,1132
告,826
普,9
人,10550
固,48
能,746
免,209
然,1295
閣,86
本,470
萬,212
肖,11
護,56
短,111
併,1
使,584
泯,2
滅,25
雖,798
茆,2
椽,1
蓬,18
牖,4
瓦,18
灶,6
繩,19
床,167
晨,25
月,799
夕,29
階,41
柳,207
庭,30
花,952
亦,382
未,749
傷,262
襟,19
筆,128
墨,90
學,331
文,286
爲,13
用,1038
假,148
語,473
言,586
敷,21
演,36
段,54
來,11458
悅,31
耳,111
目,194
乃,163
題,184
綱,6
正,1424
義,47
開,697
卷,53
即,248
知,2944
意,1262
原,957
友,116
情,664
並,48
非,233
怨,225
世,377
駡,3
矣,65
涉,13
態,30
得,3617
叙,1
旨,89
閱,22
切,77
詩,324
浮,35
著,6197
甚,232
苦,269
奔,47
忙,1829
盛,79
席,183
華,104
筵,25
終,184
散,350
場,185
悲,196
喜,697
千,240
般,305
同,600
渺,12
古,241
盡,314
荒,49
唐,43
謾,1
紅,666
袖,54
啼,45
痕,65
重,261
更,614
痴,105
抱,185
恨,174
長,394
字,676
看,2365
血,88
十,1044
年,1049
辛,48
尋,249
常,489
列,36
位,283
官,635
你,7163
道,11072
從,769
起,2479
根,140
由,167
近,298
諳,9
深,149
趣,173
味,100
待,326
在,4018
注,34
明,1158
方,1175
聞,248
惑,53
媧,4
氏,505
煉,12
補,102
山,257
稽,8
崖,3
高,283
經,508
1,10
二,2653
丈,31
2,7
四,768
頑,324
三,1216
六,163
五,582
百,330
零,45
塊,162
皇,63
只,4678
單,178
剩,118
便,4079
棄,43
青,183
埂,15
峰,18
誰,905
煅,1
3,3
性,334
眾,1187
俱,145
獨,190
己,905
材,47
堪,48
入,417
選,32
遂,244
嗟,10
夜,479
號,58
4,2
慚,23
悼,7
俄,6
僧,69
遠,250
骨,88
骼,1
凡,197
豐,12
神,431
迥,3
异,118
笑,3973
坐,1056
邊,909
談,111
快,543
論,207
先,916
些,2179
雲,609
霧,8
海,177
僊,1
玄,11
到,2257
榮,273
富,91
貴,218
聽,3307
打,1591
動,402
心,2660
想,1796
要,2922
間,491
享,27
這,7837
粗,66
蠢,34
口,768
吐,61
向,604
那,4935
弟,344
物,323
禮,326
適,1
耀,19
繁,22
慕,27
質,24
卻,723
稍,37
況,299
仙,208
形,109
體,13
定,562
品,70
必,772
濟,42
利,143
如,2368
蒙,59
發,943
點,718
慈,37
攜,64
帶,795
溫,75
柔,40
鄉,76
里,4793
受,277
幾,1376
永,28
佩,33
洪,11
劫,36
忘,233
畢,305
齊,259
憨,15
善,105
樂,213
依,394
恃,15
足,129
好,4052
多,1171
磨,31
八,277
個,5687
緊,210
相,465
連,839
屬,43
瞬,4
息,182
极,198
換,165
究,104
竟,646
境,43
歸,142
空,257
的,15737
熾,3
5,2
裡,325
進,1552
話,2504
复,176
求,330
再,1258
強,219
制,48
歎,250
靜,228
極,9
思,420
數,168
既,430
們,4898
莫,82
并,589
奇,198
處,939
踮,1
腳,176
罷,1528
施,52
佛,156
法,322
助,35
還,2501
案,89
否,22
感,168
謝,212
咒,28
符,36
展,36
術,10
登,100
變,118
鮮,77
瑩,7
洁,26
玉,6070
且,1006
縮,16
扇,93
墜,56
小,2032
拿,1074
托,123
掌,71
体,182
寶,5831
沒,2249
須,139
鐫,7
6,2
妙,270
昌,12
隆,25
邦,3
簪,47
纓,5
族,76
地,675
安,724
身,1143
業,96
禁,170
問,2011
件,508
携,1
望,175
乞,15
示,45
白,604
飄,45
投,59
舍,120
訪,38
跡,74
分,788
就,3261
茫,23
離,156
合,234
歡,285
炎,11
涼,85
面,1775
首,214
偈,14
與,1061
蒼,24
枉,47
許,375
係,9
前,1284
倩,9
寄,45
傳,298
落,284
胎,43
親,1090
陳,49
家,3924
瑣,12
閒,304
詞,111
全,220
備,257
或,530
适,18
解,403
悶,222
朝,137
代,130
紀,134
輿,14
國,169
反,315
失,201
考,33
据,82
寫,329
賢,49
忠,40
理,697
廷,19
治,154
俗,173
政,970
樣,1508
才,1673
微,156
班,74
姑,1410
蔡,2
縱,101
抄,93
恐,290
愛,264
呢,1837
答,527
太,4310
耶,28
漢,46
等,1945
添,178
綴,19
難,659
野,65
史,180
蹈,10
轍,2
套,97
新,313
別,1257
致,147
取,353
拘,60
市,18
井,32
少,545
特,77
訕,42
謗,16
君,72
貶,11
妻,127
奸,17
淫,58
凶,33
惡,67
胜,58
种,196
穢,7
污,19
臭,24
屠,3
毒,45
坏,84
佳,52
部,79
共,133
濫,12
滿,302
紙,147
潘,10
建,13
西,805
兩,2246
艷,41
賦,28
擬,55
男,181
名,565
姓,107
旁,209
撥,25
亂,292
劇,1
丑,21
鬟,239
婢,14
乎,70
逐,23
悉,23
矛,5
盾,3
睹,9
敢,697
似,372
委,120
消,79
愁,95
破,131
歪,67
熟,65
噴,14
飯,477
供,115
酒,609
興,331
衰,21
際,24
遇,174
追,39
蹤,27
躡,8
加,138
穿,274
鑿,16
徒,21
為,1268
貧,52
食,90
累,50
怀,108
貪,32
戀,17
色,410
貨,45
工,165
夫,1795
願,208
稱,135
檢,36
讀,117
他,7756
醉,88
飽,13
臥,61
避,75
把,1142
玩,76
豈,352
省,222
壽,92
命,975
筋,25
力,137
比,538
謀,25
虛,131
妄,28
舌,77
害,140
腿,51
令,301
眼,711
胡,192
牽,29
扯,76
淑,7
娘,1891
舊,306
稿,23
忖,24
晌,48
遍,144
指,222
責,35
佞,1
誅,6
邪,61
罵,251
仁,81
臣,24
良,77
孝,305
倫,12
關,152
功,102
頌,14
眷,56
窮,70
錄,30
邀,29
約,93
私,104
訂,5
偷,155
盟,8
毫,21
干,205
尾,33
悟,41
易,141
改,136
吳,39
樓,101
東,816
魯,5
孔,28
梅,85
溪,13
鑒,14
曹,17
雪,292
芹,62
軒,28
披,63
載,31
增,12
刪,7
次,404
纂,8
章,75
金,673
陵,48
絕,115
酸,58
淚,352
都,2677
脂,60
硯,38
齋,36
甲,30
戌,10
評,41
仍,281
按,142
陷,10
南,169
隅,2
蘇,34
城,127
閶,2
門,1250
最,190
流,226
外,1227
街,63
內,886
清,338
巷,13
廟,105
窄,11
狹,21
呼,51
葫,19
蘆,37
住,892
宦,22
費,121
嫡,9
封,101
稟,68
恬,3
淡,62
每,301
觀,114
修,85
竹,83
酌,19
吟,66
膝,28
兒,6108
乳,22
喚,198
英,92
蓮,135
歲,170
夏,67
晝,26
房,1027
手,1055
倦,30
拋,20
伏,205
憩,1
朦,19
朧,16
睡,508
辨,18
廂,26
放,748
現,273
公,299
該,530
結,130
冤,56
尚,323
趁,136
機,10
會,814
夾,61
孽,43
造,132
罕,57
河,36
岸,20
畔,11
絳,25
珠,166
