卻,42
說,39
那,127
仙,138
童,34
罵,13
夠,2
多,9
時,17
清,17
風,23
道,210
明,24
月,16
這,71
些,25
和,22
尚,16
也,59
受,6
得,63
氣,9
哩,23
我,167
們,47
就,49
像,3
雞,2
一,134
般,15
了,205
半,7
會,7
通,8
沒,12
個,107
招,2
聲,16
想,15
必,2
他,156
不,167
曾,20
偷,14
吃,30
倘,1
或,2
樹,55
高,11
葉,6
密,2
數,6
要,24
枉,3
你,110
再,13
去,62
查,4
是,118
兩,27
果,43
又,47
到,30
園,3
中,26
只,44
見,32
倒,26
枒,3
開,19
無,30
落,13
諕,1
腳,6
軟,2
跌,1
根,21
頭,37
腰,9
酥,1
打,77
骸,1
垢,1
魂,1
飛,5
魄,1
散,6
有,71
詩,17
為,20
證,8
曰,9
三,85
藏,25
西,19
臨,2
萬,17
壽,23
山,25
悟,8
空,15
斷,5
送,3
草,5
還,29
丹,16
露,2
心,21
膽,1
寒,2
在,64
塵,1
埃,1
語,9
言,27
顛,1
叫,29
怎,37
的,111
好,42
害,3
五,21
莊,15
觀,29
裡,49
絕,1
家,19
苗,2
裔,1
師,49
父,35
來,103
回,17
話,13
兄,12
莫,21
嚷,2
且,15
整,4
衣,6
冠,3
驚,6
張,1
幾,13
別,12
人,51
定,9
毛,1
臉,7
雷,1
公,2
嘴,5
廝,2
出,41
神,23
弄,11
法,17
壞,5
寶,8
貝,3
若,17
與,39
分,8
畢,5
竟,3
抵,1
賴,2
相,11
爭,5
起,22
交,3
手,24
麼,31
敵,1
過,11
四,18
如,18
哄,5
子,69
少,7
錯,3
轉,12
陪,3
飯,13
已,15
熟,5
等,26
貼,1
兒,56
小,36
菜,4
拿,21
著,27
碗,4
站,2
門,34
左,4
右,4
撲,5
把,46
關,7
鎖,11
住,17
將,34
層,3
都,17
放,14
待,5
憑,1
處,25
置,1
故,5
饒,6
情,8
賊,8
庶,1
可,18
以,7
免,1
之,27
罪,7
聞,23
理,6
強,4
精,4
勉,1
生,23
歡,2
喜,6
從,6
後,9
徑,10
殿,10
上,65
對,8
唐,28
僧,39
控,1
背,3
躬,1
身,22
適,1
間,11
粗,2
俗,4
衝,3
撞,4
怪,3
問,12
因,13
看,28
白,7
才,14
然,17
原,11
八,40
戒,38
趁,2
蹺,1
年,7
幼,1
知,20
事,13
體,5
亂,12
口,10
咀,1
咒,8
當,16
行,112
者,100
暗,5
謊,2
帳,2
死,6
既,8
此,28
盛,3
罷,21
便,13
沙,14
安,4
棹,1
椅,1
二,13
忙,10
取,13
醬,2
瓜,2
茄,1
糟,1
蘿,1
蔔,1
醋,2
豆,1
角,2
醃,1
窩,1
蕖,1
綽,1
芥,1
共,1
排,2
七,3
碟,1
徒,11
提,1
壺,3
茶,9
鍾,2
伺,2
候,3
眾,25
邊,12
插,2
錤,1
銅,1
笑,29
差,4
正,18
歹,4
饞,1
勞,1
禿,1
該,4
